vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,location,payment_type,fare_amount,tip_amount,total_amount,weather,traffic,customer_id,driver_id,day_of_week,hour_of_day,trip_purpose,surge_pricing
V003,2024-07-05 14:04:12,2024-07-05 14:16:12,4,6.9,40.678362,-73.968892,40.639226,-74.015532,Suburbs,Card,18.15,2.97,21.12,Rain,Moderate,CUST5612,DR745,Friday,14,Errands,FALSE
V001,2024-05-16 15:53:50,2024-05-16 16:29:50,2,2.5,40.865106,-74.054843,40.869557,-73.831664,Uptown,Cash,8.08,2.06,10.14,Snow,Moderate,CUST2120,DR144,Thursday,15,Leisure,TRUE
V004,2024-07-30 22:05:17,2024-07-30 23:05:17,4,1.4,40.666185,-73.891848,40.870419,-73.992159,Uptown,Cash,4.52,1.07,5.59,Snow,Moderate,CUST2138,DR625,Tuesday,22,Leisure,FALSE
V004,2024-07-25 10:04:34,2024-07-25 10:53:34,1,6.3,40.614159,-73.811814,40.894846,-73.957828,Uptown,Cash,14.56,2.09,16.65,Cloudy,Light,CUST5697,DR753,Thursday,10,Leisure,FALSE
V001,2024-07-09 21:10:46,2024-07-09 21:43:46,3,5.7,40.75489,-73.911257,40.751192,-73.869727,Downtown,Card,17.45,4.74,22.19,Clear,Moderate,CUST1668,DR293,Tuesday,21,Errands,FALSE
V002,2024-07-17 19:54:55,2024-07-17 20:33:55,2,1.9,40.713793,-73.958839,40.874712,-73.864723,Midtown,Card,5.52,1.38,6.9,Rain,Moderate,CUST9738,DR780,Wednesday,19,Business,FALSE
V003,2024-07-04 9:34:21,2024-07-04 10:15:21,3,9.1,40.608558,-74.060706,40.797945,-74.128997,Downtown,Cash,20.01,2.65,22.66,Snow,Heavy,CUST2730,DR968,Thursday,9,Business,TRUE
V004,2024-07-18 16:36:21,2024-07-18 17:22:21,2,5.6,40.632487,-73.72722,40.818946,-73.844695,Uptown,Card,13.06,1.7,14.76,Snow,Moderate,CUST8464,DR990,Thursday,16,Leisure,TRUE
V003,2024-07-18 9:16:37,2024-07-18 9:36:37,2,10,40.848989,-73.830578,40.703217,-73.819019,Downtown,Card,36.09,7.07,43.16,Rain,Heavy,CUST6605,DR296,Thursday,9,Commute,TRUE
V004,2024-06-06 2:53:17,2024-06-06 3:41:17,3,8.3,40.604468,-73.88442,40.650565,-73.867183,Airport,Card,26.2,3.22,29.42,Cloudy,Moderate,CUST2421,DR894,Thursday,2,Airport Transfer,TRUE
V003,2024-07-03 10:10:32,2024-07-03 10:34:32,4,5.4,40.620879,-74.042164,40.892306,-74.006401,Uptown,Cash,13.47,2.77,16.24,Rain,Moderate,CUST8083,DR248,Wednesday,10,Leisure,FALSE
V003,2024-06-12 19:24:01,2024-06-12 19:55:01,3,8.8,40.590051,-73.860688,40.910327,-73.9549,Midtown,Card,19,2.63,21.63,Cloudy,Light,CUST5978,DR421,Wednesday,19,Errands,FALSE
V001,2024-06-13 14:18:20,2024-06-13 14:38:20,3,1.8,40.649219,-74.030138,40.790151,-73.837071,Midtown,Cash,4.42,1.26,5.68,Snow,Heavy,CUST6755,DR907,Thursday,14,Business,TRUE
V001,2024-06-09 12:42:06,2024-06-09 13:42:06,1,4,40.87071,-74.000599,40.708102,-74.026213,Suburbs,Card,11.92,2.94,14.86,Cloudy,Moderate,CUST2985,DR132,Sunday,12,Errands,TRUE
V004,2024-07-17 13:56:36,2024-07-17 14:13:36,1,6.6,40.607627,-73.760594,40.836513,-73.807692,Uptown,Cash,21.05,2.83,23.88,Fog,Light,CUST6912,DR122,Wednesday,13,Errands,FALSE
V001,2024-07-07 1:36:23,2024-07-07 2:25:23,4,4.8,40.719658,-73.821643,40.877205,-73.785998,Midtown,Card,16.53,4.69,21.22,Snow,Heavy,CUST3850,DR667,Sunday,1,Errands,TRUE
V004,2024-05-12 11:28:41,2024-05-12 12:17:41,4,3,40.691272,-73.968197,40.652099,-73.782905,Airport,Card,8.04,1.66,9.7,Fog,Light,CUST4849,DR622,Sunday,11,Leisure,TRUE
V002,2024-07-02 20:06:00,2024-07-02 20:13:00,2,2.6,40.899135,-74.022751,40.754254,-73.889891,Downtown,Card,5.43,1.34,6.77,Rain,Moderate,CUST1842,DR419,Tuesday,20,Airport Transfer,TRUE
V004,2024-06-14 18:03:19,2024-06-14 19:02:19,2,2.9,40.767376,-73.725295,40.737825,-73.881425,Downtown,Card,7.59,1.24,8.83,Clear,Light,CUST5931,DR654,Friday,18,Leisure,FALSE
V004,2024-06-09 21:51:25,2024-06-09 22:48:25,2,7.3,40.584346,-73.868414,40.59523,-73.782251,Midtown,Cash,20.66,5.85,26.51,Snow,Light,CUST6843,DR403,Sunday,21,Leisure,TRUE
V003,2024-06-04 12:30:52,2024-06-04 12:43:52,4,1.8,40.900335,-73.946046,40.658817,-74.050785,Suburbs,Cash,6.58,1.03,7.61,Rain,Heavy,CUST1449,DR552,Tuesday,12,Leisure,TRUE
V003,2024-07-09 5:41:16,2024-07-09 6:07:16,2,9.5,40.650243,-74.119967,40.810091,-73.749321,Downtown,Cash,24.62,7.24,31.86,Fog,Moderate,CUST3327,DR563,Tuesday,5,Business,FALSE
V002,2024-06-27 11:08:44,2024-06-27 12:08:44,1,7.2,40.834586,-74.114837,40.691828,-73.889227,Downtown,Card,16.43,2.75,19.18,Clear,Heavy,CUST2173,DR532,Thursday,11,Airport Transfer,TRUE
